-7,4,0,5,-5,-2,-6,3,2,-3,
3,-10,7,-2,-3,-3,-13,9,5,2,
-1,2,-4,-1,1,4,-6,5,3,-2,
4,-3,-5,-13,-2,5,1,3,2,1,
-3,-12,-3,-1,3,-3,6,-7,-1,-4,
5,-1,-3,-3,1,1,8,-2,-3,2,
-5,0,-4,0,9,-1,2,-1,-4,4,
-2,1,-4,-2,-5,6,-4,1,-8,-1,
3,4,10,-3,-4,-6,8,6,6,2,
-5,1,1,1,4,-6,8,-3,5,-5,
-2,7,3,0,8,8,1,-8,11,-3,
7,7,-1,5,0,-11,6,-7,1,8,
-5,2,1,4,14,4,-3,9,4,2,
1,1,-5,5,-9,-4,-6,-8,-10,-13,
3,-8,-7,6,-2,5,-6,-3,7,-3,
-6,10,-5,9,-5,1,2,-4,0,-13,
-1,-3,-4,2,-3,6,-4,-12,-3,0,
17,2,-1,-7,2,6,3,2,1,-11,
0,-7,-1,0,-1,2,1,10,9,-2,
0,7,3,2,11,-1,0,-11,-10,-3,
7,8,7,7,0,4,-4,0,5,-2,
-7,-2,-2,-3,2,-6,-5,-8,1,8,
0,-5,6,-6,-1,0,1,-6,-5,-1,
-8,9,9,12,-4,2,4,8,10,-4,
-8,-1,0,2,-4,4,-1,2,1,-11,
8,2,5,6,2,-7,9,8,2,2,
-10,15,7,-2,3,-5,12,4,0,-12,
1,-7,-8,-2,6,-12,4,-1,-4,-5,
0,-1,5,5,12,-2,-6,-1,5,-4,
-1,-7,-2,-9,0,3,-13,1,4,-5,
